ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At
R2TLRKFYI39VOY,Pinku Ghosh,https://www.amazon.in/gp/profile/amzn1.account.AFUJH3LHCZBLB2BEIRDF2YKPC3OA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Quality check not done before despatch,3,3.0 out of 5 stars,One of the product is not good. The filling is improper and making a rattling sound while in movement !,https://www.amazon.in/gp/customer-reviews/R2TLRKFYI39VOY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 27 September 2025,Colour: RedSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:56:12.828Z
R2L9614K3UADRN,Ravindra S. Nagpure,https://www.amazon.in/gp/profile/amzn1.account.AH3SQBMMC4E7YP7CX5LKEN3ULCYQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Wow,4,4.0 out of 5 stars,Superb excellent product,https://www.amazon.in/gp/customer-reviews/R2L9614K3UADRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 20 August 2025,Colour: RedSize: 2KG(1KG*2),Verified Purchase,,,,,2025-11-08T15:56:12.828Z
R1W73L0G2UUEKA,Yogesh,https://www.amazon.in/gp/profile/amzn1.account.AFQYFXKJCQNIA2XVXVX4Y3XDWRTA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Value for Money,5,5.0 out of 5 stars,Good for the Price . Best suitable for beginners.,https://www.amazon.in/gp/customer-reviews/R1W73L0G2UUEKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 5 November 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:56:12.829Z
R3LDRK6RTMGCLG,chandra pandey,https://www.amazon.in/gp/profile/amzn1.account.AGVZQBU3ZIGRRVAXB33UODILSW4Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Plastic made filled with heavyweight,4,4.0 out of 5 stars,Good,https://www.amazon.in/gp/customer-reviews/R3LDRK6RTMGCLG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 25 August 2025,Colour: BlackSize: 4KG(2KG*2),Verified Purchase,,https://m.media-amazon.com/images/I/81JMGxraviL._SY88.jpg,https://m.media-amazon.com/images/I/81JMGxraviL.jpg,,2025-11-08T15:56:14.684Z
R1AFXUP83QYSX6,Amazon Customer,https://www.amazon.in/gp/profile/amzn1.account.AEWECB464T44YZGMVD7RXIPP2P2Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,PVC Dumbells are bulkier,4,4.0 out of 5 stars,PVC Dumbells are bulkier than metal ones.,https://www.amazon.in/gp/customer-reviews/R1AFXUP83QYSX6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 26 August 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.684Z
R14F4FM7Y44W9E,Tankadhar M.,https://www.amazon.in/gp/profile/amzn1.account.AHGQKL6GFP5AOI5SVJN346U3IF5A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Khgh,3,3.0 out of 5 stars,Good,https://www.amazon.in/gp/customer-reviews/R14F4FM7Y44W9E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 9 October 2025,Colour: BlackSize: 4KG(2KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.684Z
R20SJS9MQCJA0G,GENIUS,https://www.amazon.in/gp/profile/amzn1.account.AHDGPGGAWEPSOWMWM7YFRYNUYVJA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Quality,3,3.0 out of 5 stars,"Quality is ok, overall Dumbble is good for beginners.",https://www.amazon.in/gp/customer-reviews/R20SJS9MQCJA0G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 7 October 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,https://m.media-amazon.com/images/I/71NLltyj2iL._SY88.jpg; https://m.media-amazon.com/images/I/71TOfqCfusL._SY88.jpg,https://m.media-amazon.com/images/I/71NLltyj2iL.jpg; https://m.media-amazon.com/images/I/71TOfqCfusL.jpg,,2025-11-08T15:56:14.684Z
R3G60NKRTVZMQ3,B sandesh,https://www.amazon.in/gp/profile/amzn1.account.AG2VZ5X3PDN4SYUZJHSKDAIJJ3NA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Worth it. U can go for it. Home workout!,4,4.0 out of 5 stars,Sufficient for home workout. Plastic quality is fine cannot say very strong but sure they will last long. Earlier i thought they might spell plastic and degrade in long run. But they are different. Good material used.Worth for its price. Packaging was also good. Three layers literally 3. Thanks lifelong for budget clean product.,https://www.amazon.in/gp/customer-reviews/R3G60NKRTVZMQ3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 26 July 2025,Colour: BlackSize: 2KG(1KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.685Z
RGYBBCHUCRU4Z,Jawahar,https://www.amazon.in/gp/profile/amzn1.account.AFTZUWRT2YMKBW25TONN6WR4IABQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good,3,3.0 out of 5 stars,Good,https://www.amazon.in/gp/customer-reviews/RGYBBCHUCRU4Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 9 October 2025,Colour: BlackSize: 4KG(2KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.685Z
R3ODCQ4JK1L0RI,CHANDAN KUMAR SAHOO,https://www.amazon.in/gp/profile/amzn1.account.AEQER6QSSL7FJ3M3I255PJTF6HPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Nice not strong flexble like work,3,3.0 out of 5 stars,Okok,https://www.amazon.in/gp/customer-reviews/R3ODCQ4JK1L0RI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 14 October 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.686Z
R2TLRKFYI39VOY,Pinku Ghosh,https://www.amazon.in/gp/profile/amzn1.account.AFUJH3LHCZBLB2BEIRDF2YKPC3OA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Quality check not done before despatch,3,3.0 out of 5 stars,One of the product is not good. The filling is improper and making a rattling sound while in movement !,https://www.amazon.in/gp/customer-reviews/R2TLRKFYI39VOY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 27 September 2025,Colour: RedSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.686Z
R2L9614K3UADRN,Ravindra S. Nagpure,https://www.amazon.in/gp/profile/amzn1.account.AH3SQBMMC4E7YP7CX5LKEN3ULCYQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Wow,4,4.0 out of 5 stars,Superb excellent product,https://www.amazon.in/gp/customer-reviews/R2L9614K3UADRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 20 August 2025,Colour: RedSize: 2KG(1KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.686Z
R1W73L0G2UUEKA,Yogesh,https://www.amazon.in/gp/profile/amzn1.account.AFQYFXKJCQNIA2XVXVX4Y3XDWRTA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Value for Money,5,5.0 out of 5 stars,Good for the Price . Best suitable for beginners.,https://www.amazon.in/gp/customer-reviews/R1W73L0G2UUEKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 5 November 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.686Z
R295WZYHAE48OI,Pratistha Singh,https://www.amazon.in/gp/profile/amzn1.account.AH3FOMIJ5GYUQEBBIBYAWSLBULGA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good Product,4,4.0 out of 5 stars,Beginner friendly!,https://www.amazon.in/gp/customer-reviews/R295WZYHAE48OI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 3 September 2025,Colour: BlackSize: 2KG(1KG*2),Verified Purchase,,https://m.media-amazon.com/images/I/819Y6jIKAxL._SY88.jpg,https://m.media-amazon.com/images/I/819Y6jIKAxL.jpg,,2025-11-08T15:56:14.777Z
R3V3GHNE4AQZ79,Rathanesh,https://www.amazon.in/gp/profile/amzn1.account.AG5OCEOJIAYLLYOA3ZTREIRBFTXQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good,4,4.0 out of 5 stars,Good,https://www.amazon.in/gp/customer-reviews/R3V3GHNE4AQZ79/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 3 September 2025,Colour: BlackSize: 6KG(3KG*2),Verified Purchase,,,,,2025-11-08T15:56:14.778Z
R2B4A1QJT61I4I,Kajal,https://www.amazon.in/gp/profile/amzn1.account.AFKMN3L5DLGVPWMATGJSJURSA7BQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Just filled up with sand,3,3.0 out of 5 stars,Quality is amazing easy to grip but when we talk about the the weight it's less then 5kg actually not 2-250gm is less then actua weightEach dumbleBut according the money product is good then we compair with othersUltimately greatFilling with sandThis is something which make me disappoint,https://www.amazon.in/gp/customer-reviews/R2B4A1QJT61I4I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 19 September 2025,Colour: RedSize: 10KG(5KG*2),Verified Purchase,One person found this helpful,https://m.media-amazon.com/images/I/614+1X8FuGL._SY88.jpg; https://m.media-amazon.com/images/I/71LnmFgy1GL._SY88.jpg; https://m.media-amazon.com/images/I/71TGL3kA2bL._SY88.jpg,https://m.media-amazon.com/images/I/614+1X8FuGL.jpg; https://m.media-amazon.com/images/I/71LnmFgy1GL.jpg; https://m.media-amazon.com/images/I/71TGL3kA2bL.jpg,,2025-11-08T15:56:14.778Z
